,channel_id,members_count,new_members_for_today,new_members_for_yesterday,new_members_for_week,views_for_24_hours,views_for_48_hours,views_for_72_hours,posts_per_day,ads_per_day,forwards_per_post,reactions_per_post,comments_per_post,er,join_request,mentions_for_today,mentions_for_yesterday,mentions_for_week,males
0,1731045293,5355,0.0,,,2082,3187.0,2478.0,2.5,1.0,44,72.0,70.0,38.88,True,0,3,3,
1,1028277737,1331,0.0,4.0,,179,237.0,,10.0,3.5,0,,,13.45,False,0,4,13,
2,1062556518,330,,,,160,,,2.0,,0,15.0,0.0,48.48,False,1,2,4,
3,1159778561,493,1.0,-2.0,,116,125.0,146.0,2.14,1.0,1,7.0,0.0,23.53,False,0,0,1,
4,1113915414,87760,-90.0,-140.0,2025.0,2878,3035.0,2939.0,6.0,8.5,0,,,3.28,False,0,0,0,
5,1009386990,7519,-122.0,44.0,-6.0,1359,1630.0,1772.0,1.5,,22,11.0,3.0,18.07,False,0,0,0,
6,1001104273,22005,-2.0,-9.0,-84.0,4965,5599.0,4576.0,12.5,,5,25.0,2.0,22.56,False,1,1,2,
7,1003897601,35815,12.0,37.0,302.0,8342,,,54.5,7.5,9,63.0,4.0,23.29,False,0,2,22,
8,1763207822,868,0.0,-1.0,-25.0,139,167.0,187.0,2.0,,1,3.0,0.0,16.01,False,0,0,0,
9,1763216041,116965,-63.0,173.0,3310.0,13182,16035.0,17286.0,9.0,2.0,78,41.0,,11.27,True,0,0,8,
10,1763216367,748,-1.0,-4.0,-15.0,247,,314.0,1.0,,1,5.0,0.0,33.02,False,0,0,1,
11,1763320209,12674,-37.0,-20.0,39.0,1751,2514.0,2916.0,16.0,17.5,13,13.0,0.0,13.82,False,0,6,18,
12,1763470988,1007,0.0,4.0,0.0,244,307.0,358.0,1.0,,0,29.0,7.0,24.23,False,0,0,0,
13,1000627591,12090,2.0,1.0,94.0,1696,2525.0,3203.0,4.0,3.0,10,,3.0,14.03,False,1,1,8,
14,1004546831,11501,16.0,8.0,51.0,2216,2553.0,3380.0,24.5,,8,6.0,,19.27,False,1,1,3,
15,1094284528,46315,-74.0,-205.0,-512.0,6208,8358.0,10111.0,7.0,1.5,52,,,13.4,True,0,0,11,
16,1094381054,511,0.0,-1.0,-2.0,263,,,1.0,,7,14.0,0.0,51.47,False,0,0,0,
17,1177476870,1978,,,,168,,,12.5,3.0,2,,0.0,8.49,False,1,0,2,
18,1763747789,7276,-1.0,-4.0,-1.0,1770,2485.0,2682.0,1.0,,3,114.0,3.0,24.33,False,0,0,1,
19,1002896872,9920,-11.0,-1.0,40.0,2525,2946.0,3285.0,12.5,,15,39.0,,25.45,False,0,0,1,
20,1004770755,138240,1629.0,7614.0,15315.0,32322,,,46.5,1.0,6,25.0,2.0,23.38,False,0,0,4,
21,1004812025,14680,-11.0,-2.0,-63.0,4707,4856.0,5278.0,8.5,,22,30.0,17.0,32.06,False,0,0,0,
22,1004864612,9490,-76.0,0.0,-120.0,1009,1101.0,1251.0,3.0,2.0,15,15.0,2.0,10.63,False,0,0,2,
23,1009485608,2767,-2.0,-4.0,-15.0,240,241.0,302.0,3.5,3.5,1,4.0,8.0,8.67,False,0,0,0,
24,1009970962,5005,0.0,-3.0,-12.0,1044,1158.0,1365.0,2.5,,2,22.0,2.0,20.86,False,0,0,2,
25,1023207908,2522,-4.0,-7.0,-47.0,409,560.0,617.0,2.0,1.0,0,,0.0,16.22,False,1,0,1,
26,1029528841,641,0.0,0.0,-3.0,101,143.0,157.0,5.0,1.0,1,1.0,0.0,15.76,False,0,0,0,
27,1030020028,2082,0.0,-2.0,-5.0,354,308.0,400.0,1.0,1.0,10,8.0,3.0,17.0,False,0,1,1,
28,1034719627,972,0.0,-2.0,-4.0,171,,,2.0,,0,2.0,0.0,17.59,False,0,0,0,
29,1038075348,13310,6.0,13.0,111.0,8365,1883.0,2271.0,1.0,,36,,,62.85,False,2,1,12,
30,1003948012,29538,-25.0,-49.0,-133.0,3280,3982.0,3914.0,2.0,,14,71.0,4.0,11.1,False,2,0,12,
31,1004356130,10004,-11.0,-20.0,-124.0,2388,3385.0,3830.0,1.0,,6,21.0,0.0,23.87,False,0,0,0,
32,1005326488,4103,0.0,4.0,,815,1185.0,,2.0,,20,,,19.86,False,0,1,3,
33,1006928260,19116,-11.0,-41.0,-212.0,2745,3134.0,3233.0,19.5,3.5,32,7.0,,14.36,False,0,0,0,
34,1009962628,50160,-52.0,-12.0,-240.0,7255,8246.0,8943.0,2.0,,92,100.0,,14.46,False,2,1,7,
35,1010131401,13044,1.0,3.0,-14.0,2415,3289.0,,2.5,3.0,73,98.0,2.0,18.51,False,0,0,6,
36,1153546897,316,0.0,7.0,18.0,25,24.0,20.0,1.5,1.0,1,,,7.91,False,0,0,1,
37,1264571637,40345,-66.0,,,6008,7226.0,7107.0,5.5,1.0,1,,,14.89,True,0,2,2,
38,1004937544,149503,-12.0,-32.0,-357.0,25920,29946.0,31676.0,5.5,3.0,147,249.0,23.0,17.34,False,0,1,9,
39,1006112008,137102,-49.0,-69.0,-195.0,39067,50817.0,55995.0,10.0,,12,,,28.49,False,1,6,11,
40,1006225886,10749,-77.0,8.0,-111.0,4212,4131.0,4361.0,16.0,1.0,38,54.0,,39.19,False,0,2,4,
41,1006261989,9538,3.0,5.0,72.0,1726,1948.0,2328.0,3.5,2.5,16,16.0,,18.1,False,0,0,1,
42,1006435385,1978,-1.0,-3.0,,344,392.0,399.0,4.0,,3,2.0,0.0,17.39,False,0,0,1,
43,1007375479,1528216,-3265.0,-1198.0,-15847.0,144546,179587.0,211812.0,1.5,,25,,,9.46,False,0,2,3,
44,1009185002,38823,-32.0,-11.0,-5.0,8971,20190.0,21144.0,1.0,,44,211.0,,23.11,False,0,5,16,
45,1011817559,47426,-5.0,-12.0,50.0,18224,19879.0,19982.0,16.5,1.5,44,780.0,38.0,38.43,False,2,2,8,
46,1012094899,508,-1.0,-1.0,,74,93.0,100.0,3.5,,0,3.0,0.0,14.57,False,0,0,1,
47,1014212373,3126,21.0,151.0,273.0,899,1025.0,1014.0,3.0,,12,49.0,3.0,28.76,False,0,0,0,
48,1024737039,1492,0.0,1.0,-2.0,234,255.0,,1.0,,11,15.0,1.0,15.68,False,0,0,0,
49,1027236403,9750,-6.0,-7.0,-55.0,1208,1503.0,1514.0,2.0,1.0,20,10.0,0.0,12.39,False,0,0,1,
50,1027694484,2156,4.0,0.0,-9.0,571,696.0,798.0,1.0,,9,10.0,0.0,26.48,False,0,0,0,
51,1095933569,4326,0.0,-101.0,,198,307.0,339.0,4.0,1.0,0,6.0,4.0,4.58,False,0,0,7,
52,1001985850,2861,6.0,-1.0,22.0,657,938.0,1323.0,1.0,,3,20.0,0.0,22.96,False,0,0,0,
53,1003313758,1309350,-212.0,-452.0,-3300.0,454998,517978.0,576918.0,22.5,2.0,4297,,254.0,34.75,False,28,36,118,
54,1005154620,14587,-4.0,4.0,17.0,676,967.0,,3.0,2.0,2,,,4.63,False,0,0,0,
55,1005731914,9663,-7.0,-14.0,-78.0,6795,4462.0,,1.0,3.0,9,24.0,,70.32,False,0,0,4,
56,1006245530,45415,-26.0,-61.0,,13018,,,18.0,1.0,252,,,28.66,False,0,0,1,
57,1156579751,8759,710.0,,,8559,12215.0,12436.0,14.0,4.5,6,,,97.72,True,4,6,10,
58,1112531127,7223,12.0,9.0,,818,,1432.0,1.0,1.0,2,1.0,6.0,11.32,False,0,1,2,
59,1010313870,1793,0.0,-1.0,1.0,367,675.0,963.0,2.5,,1,3.0,0.0,20.47,False,0,0,0,
60,1011882481,108960,-22.0,6.0,-163.0,47220,51449.0,54895.0,4.0,1.0,458,,,43.34,False,4,5,21,
61,1012103617,242809,-139.0,-167.0,-136.0,90533,122155.0,142873.0,17.0,8.5,374,3805.0,149.0,37.29,False,15,26,93,
62,1028479483,30074,-17.0,-13.0,120.0,2969,,,1.0,,30,34.0,19.0,9.87,False,0,0,0,
63,1032211003,56509,-8.0,-54.0,-248.0,19661,21978.0,23991.0,1.5,1.0,65,159.0,42.0,34.79,False,0,1,1,
64,1032374108,19104,-10.0,-10.0,-47.0,761,1138.0,1332.0,1.0,,3,,,3.98,False,0,0,0,
65,1036417826,47626,-12.0,-26.0,-218.0,13637,15294.0,15901.0,13.5,2.0,316,21.0,,28.63,False,0,1,1,
66,1039210712,11364,-1.0,4.0,21.0,2410,2972.0,3304.0,2.0,1.0,6,46.0,31.0,21.21,False,0,0,0,
67,1000646079,10014,-10.0,-22.0,-161.0,1599,1970.0,2032.0,2.0,,3,20.0,0.0,15.97,False,0,0,0,
68,1001766948,1417315,-5077.0,-10637.0,-152549.0,397429,416619.0,,27.5,2.0,737,,,28.04,False,8,16,126,
69,1002500850,40386,-15.0,47.0,166.0,8410,9596.0,10432.0,19.5,,16,43.0,7.0,20.82,False,0,0,1,
70,1003268324,112220,-19.0,-37.0,-275.0,15205,16999.0,18013.0,13.0,3.5,90,92.0,,13.55,False,0,0,0,
71,1003509668,25737,-3.0,-36.0,-205.0,5357,5913.0,5909.0,9.5,,51,26.0,0.0,20.81,False,0,0,0,
