,msg_id,channel_id,views,forwards,comments,reactions,posted
0,2647,1001957400,1360,47,,38,2023-01-26 14:52:37
1,2648,1001957400,1223,19,,33,2023-01-29 16:13:39
2,2649,1001957400,1053,12,,19,2023-01-30 09:20:43
3,2650,1001957400,1293,6,,25,2023-01-30 10:29:24
4,2651,1001957400,998,15,,22,2023-01-31 19:19:35
5,2652,1001957400,1013,43,,43,2023-02-02 16:45:07
6,2653,1001957400,1254,61,,57,2023-02-04 16:37:43
7,2654,1001957400,954,11,,15,2023-02-04 21:17:51
8,2658,1001957400,947,12,,27,2023-02-08 09:27:50
9,2659,1001957400,918,8,,8,2023-02-09 13:41:09
10,2660,1001957400,1082,12,,28,2023-02-09 13:45:45
11,2661,1001957400,1390,21,,49,2023-02-09 14:13:49
12,2663,1001957400,968,15,,44,2023-02-11 19:50:07
13,2664,1001957400,922,8,,27,2023-02-12 19:36:33
14,2665,1001957400,1069,17,,32,2023-02-15 12:09:44
15,2666,1001957400,740,11,,23,2023-02-15 15:35:43
16,2667,1001957400,1570,97,,76,2023-02-17 19:59:08
17,2673,1001957400,1083,13,,30,2023-02-25 17:53:04
18,2674,1001957400,1073,33,,38,2023-02-26 16:25:32
19,2675,1001957400,1420,57,,64,2023-03-01 14:29:06
20,2676,1001957400,1650,42,,23,2023-03-06 11:58:37
21,2677,1001957400,891,14,,32,2023-03-07 08:50:45
22,2678,1001957400,1097,21,,38,2023-03-09 22:13:21
23,2679,1001957400,906,14,,26,2023-03-11 16:48:24
24,2680,1001957400,1169,15,,15,2023-03-13 02:02:45
25,2681,1001957400,1038,12,,10,2023-03-13 20:23:50
26,2682,1001957400,983,20,,31,2023-03-13 21:10:18
27,2683,1001957400,1989,32,,27,2023-03-16 00:17:02
28,2684,1001957400,1114,28,,27,2023-03-16 19:36:46
29,2685,1001957400,1045,17,,22,2023-03-16 19:36:46
30,2686,1001957400,1099,24,,30,2023-03-16 19:36:47
31,2687,1001957400,1523,33,,51,2023-03-19 20:38:21
32,35083,1003747500,36582,180,,555,2023-01-26 06:29:04
33,35084,1003747500,25787,6,,286,2023-01-26 06:52:17
34,35085,1003747500,21137,68,,448,2023-01-26 07:15:02
35,35086,1003747500,25939,49,,553,2023-01-26 07:30:20
36,35087,1003747500,21297,47,,297,2023-01-26 07:59:00
37,35088,1003747500,26571,35,,490,2023-01-26 08:30:26
38,35089,1003747500,21659,2,,141,2023-01-26 09:04:48
39,35090,1003747500,21468,8,,268,2023-01-26 09:15:04
40,35091,1003747500,25966,107,,525,2023-01-26 09:52:47
41,35092,1003747500,21027,28,,447,2023-01-26 10:09:57
42,35093,1003747500,25775,97,,505,2023-01-26 10:32:33
43,35094,1003747500,20418,10,,367,2023-01-26 10:47:03
44,35095,1003747500,20316,20,,432,2023-01-26 11:06:17
45,35096,1003747500,20279,16,,360,2023-01-26 11:12:03
46,35097,1003747500,20822,12,,413,2023-01-26 11:16:03
47,35098,1003747500,25934,20,,204,2023-01-26 11:44:26
48,35099,1003747500,20864,12,,359,2023-01-26 11:49:01
49,35100,1003747500,27374,45,,355,2023-01-26 11:58:50
50,35101,1003747500,21356,30,,407,2023-01-26 12:10:26
51,35102,1003747500,20831,2,,198,2023-01-26 12:29:30
52,35103,1003747500,25914,38,,368,2023-01-26 12:33:58
53,35104,1003747500,20972,47,,221,2023-01-26 12:54:34
54,35105,1003747500,24977,14,,274,2023-01-26 13:22:12
55,35106,1003747500,20655,68,,435,2023-01-26 13:38:01
56,35107,1003747500,26044,29,,310,2023-01-26 14:04:01
57,35108,1003747500,19523,31,,414,2023-01-26 14:21:01
58,35109,1003747500,25831,90,,312,2023-01-26 14:37:01
59,35110,1003747500,24834,29,,241,2023-01-26 15:06:49
60,35111,1003747500,20170,17,,351,2023-01-26 15:16:22
61,35112,1003747500,26115,70,,844,2023-01-26 15:37:01
62,35113,1003747500,25018,7,,308,2023-01-26 15:54:00
63,35114,1003747500,25580,16,,354,2023-01-26 16:08:00
64,35115,1003747500,19246,12,,245,2023-01-26 16:27:00
65,35116,1003747500,19809,11,,268,2023-01-26 16:43:01
66,35117,1003747500,20121,30,,332,2023-01-26 17:00:58
67,35118,1003747500,20142,9,,257,2023-01-26 17:15:00
68,35119,1003747500,20086,28,,287,2023-01-26 17:32:01
69,35120,1003747500,20741,8,,325,2023-01-26 17:48:01
70,35121,1003747500,25849,55,,659,2023-01-26 18:14:01
71,35122,1003747500,20251,15,,392,2023-01-26 18:43:38
72,35123,1003747500,20174,38,,273,2023-01-26 19:10:03
73,35124,1003747500,26168,25,,409,2023-01-26 19:29:01
74,35125,1003747500,25808,98,,660,2023-01-26 19:50:01
75,35126,1003747500,20281,10,,294,2023-01-26 20:15:04
76,35127,1003747500,47093,220,,227,2023-01-26 20:46:41
77,35128,1003747500,20230,26,,375,2023-01-26 20:49:00
78,35129,1003747500,20307,65,,381,2023-01-26 21:15:04
79,35130,1003747500,21247,11,,269,2023-01-26 21:27:54
80,35131,1003747500,26696,5,,166,2023-01-26 21:45:02
81,35132,1003747500,20834,64,,657,2023-01-26 22:16:58
82,35133,1003747500,22292,20,,396,2023-01-26 22:35:58
83,35135,1003747500,23370,106,,1116,2023-01-26 23:18:55
84,35136,1003747500,24197,40,,442,2023-01-26 23:33:30
85,35137,1003747500,29756,45,,693,2023-01-26 23:53:55
86,35138,1003747500,24900,6,,213,2023-01-27 01:15:01
87,35139,1003747500,23088,56,,345,2023-01-27 06:46:44
88,35140,1003747500,22452,14,,358,2023-01-27 07:05:02
89,35141,1003747500,27182,52,,471,2023-01-27 07:48:49
90,35142,1003747500,22243,35,,464,2023-01-27 08:05:29
91,35143,1003747500,21802,79,,359,2023-01-27 08:23:01
92,35144,1003747500,21657,6,,139,2023-01-27 08:37:48
93,35145,1003747500,21637,24,,544,2023-01-27 08:59:31
94,35146,1003747500,20925,162,,519,2023-01-27 09:21:47
95,35147,1003747500,20656,3,,237,2023-01-27 10:04:16
96,35148,1003747500,20294,124,,448,2023-01-27 10:23:49
97,35149,1003747500,26439,79,,439,2023-01-27 10:46:57
98,35150,1003747500,20932,9,,240,2023-01-27 11:08:34
99,35151,1003747500,26181,24,,406,2023-01-27 11:32:05
