,msg_id,entity_id,userbot_id,mentioned,link_value,link_type,counter,mention_type,entity_members_count,entity_views,sponsored_message_text,created
0,2481,97342984,5583369219,1351249451,course,public_channel,1,normal,,,,2023-03-19 23:43:55
1,2834,97342984,5583369219,1409414787,englishlanguage,public_channel,1,normal,,,,2023-03-27 05:42:15
2,428,159645444,6010968093,1791907960,bothelp_channel,public_channel,1,normal,,,,2023-03-16 17:11:28
3,588,159645444,6010968093,1791907960,bothelp_channel,public_channel,1,normal,,,,2023-03-23 17:28:32
4,7047,260962124,5341366424,1582721557,bestaiimages,public_channel,1,normal,,,,2023-03-14 08:35:25
5,7201,260962124,5341366424,1283101826,randomanimegarbage,public_channel,1,normal,,,,2023-03-14 17:47:47
6,7392,260962124,5341366424,1376090266,sturmundmeme,public_channel,1,normal,,,,2023-03-14 22:07:50
7,7944,260962124,5341366424,1220868865,vhschan,public_channel,1,normal,,,,2023-03-16 09:46:14
8,8326,260962124,5341366424,1730233110,imminentyurikiss,public_channel,1,normal,,,,2023-03-16 21:01:22
9,9085,260962124,5341366424,1143128815,bardissoluto,public_channel,1,normal,,,,2023-03-18 04:47:35
10,9086,260962124,5341366424,1143128815,bardissoluto,public_channel,1,normal,,,,2023-03-18 04:47:35
11,9551,260962124,5341366424,1891550474,femboy_posting2,public_channel,1,normal,,,,2023-03-18 20:58:53
12,10434,260962124,5341366424,1730233110,imminentyurikiss,public_channel,1,normal,,,,2023-03-19 22:42:13
13,11600,260962124,5341366424,1761025558,armpit_heaven,public_channel,1,normal,,,,2023-03-22 18:02:01
14,12173,260962124,5341366424,1283101826,randomanimegarbage,public_channel,1,normal,,,,2023-03-23 17:28:01
15,12224,260962124,5341366424,1541465769,undergroundautism,public_channel,1,normal,,,,2023-03-23 21:19:34
16,12469,260962124,5341366424,1376527483,animemerepo,public_channel,1,normal,,,,2023-03-24 04:09:49
17,12470,260962124,5341366424,1376527483,animemerepo,public_channel,1,normal,,,,2023-03-24 04:09:49
18,12471,260962124,5341366424,1376527483,animemerepo,public_channel,1,normal,,,,2023-03-24 04:09:49
19,13007,260962124,5341366424,1730233110,imminentyurikiss,public_channel,1,normal,,,,2023-03-25 10:32:11
20,13023,260962124,5341366424,1642651925,niggerniggerniggernigger,public_channel,1,normal,,,,2023-03-25 12:02:31
21,14121,260962124,5341366424,1761025558,armpit_heaven,public_channel,1,normal,,,,2023-03-27 18:51:19
22,14122,260962124,5341366424,1761025558,armpit_heaven,public_channel,1,normal,,,,2023-03-27 18:51:19
23,14123,260962124,5341366424,1761025558,armpit_heaven,public_channel,1,normal,,,,2023-03-27 18:51:19
24,4268,509436474,5515379077,1110679691,abitura_2019,public_channel,1,normal,,,,2023-03-23 20:59:20
25,1541,537664984,6011488836,1556054753,watcherguru,public_channel,1,normal,,,,2023-03-23 23:46:32
26,1564,537664984,6011488836,1373385240,unitedanarchists,public_channel,1,normal,,,,2023-03-23 23:51:08
27,1579,537664984,6011488836,1641130055,otakuntg,public_channel,1,normal,,,,2023-03-24 00:04:41
28,1585,537664984,6011488836,1432950893,antichirst,public_channel,1,normal,,,,2023-03-24 00:19:46
29,1588,537664984,6011488836,1432950893,antichirst,public_channel,1,normal,,,,2023-03-24 00:28:20
30,1740,537664984,6011488836,1316560023,gauchism,public_channel,1,normal,,,,2023-03-24 17:30:09
31,1751,537664984,6011488836,1179270258,disclosetv,public_channel,1,normal,,,,2023-03-24 18:34:17
32,1803,537664984,6011488836,1157521395,internetpuke,public_channel,1,normal,,,,2023-03-24 23:03:40
33,1806,537664984,6011488836,1157521395,internetpuke,public_channel,1,normal,,,,2023-03-24 23:04:41
34,1834,537664984,6011488836,1731931467,sillyziggers,public_channel,1,normal,,,,2023-03-25 00:46:37
35,1837,537664984,6011488836,1883849128,suriyak_maps,public_channel,1,normal,,,,2023-03-25 01:51:07
36,1846,537664984,6011488836,1373385240,unitedanarchists,public_channel,1,normal,,,,2023-03-25 01:56:16
